REALM,taxa_mod,Species_orig,Genus,species,mass_g,length_cm,source,notes,name_data_entry,date_searched
Freshwater,Amphibians,Dendropsophus_minutus,Dendropsophus,minutus,15.45,,AmphiBIO,Using genus-level average,,
Freshwater,Amphibians,Dendropsophus_nanus,Dendropsophus,nanus,15.45,,AmphiBIO,Using genus-level average,,
Freshwater,Amphibians,Elachistocleis_ovalis,Elachistocleis,ovalis,40,,AmphiBIO,,,
Freshwater,Amphibians,Hypsiboas_raniceps,Hypsiboas,raniceps,22.5,,AmphiBIO,,,
Freshwater,Amphibians,Leptodactylus_fuscus,Leptodactylus ,fuscus,50,,AmphiBIO,,,
Freshwater,Amphibians,Leptodactylus_podicipinus,Leptodactylus ,podicipinus,8.1,,AmphiBIO,,,
Freshwater,Amphibians,Physalaemus_centralis,Physalaemus,centralis,7.5,,AmphiBIO,,,
Freshwater,Amphibians,Physalaemus_cuvieri,Physalaemus,cuvieri,4.7,,AmphiBIO,,,
Freshwater,Amphibians,Physalaemus_marmoratus,Physalaemus,marmoratus,7.3,,AmphiBIO,,,
Freshwater,Amphibians,Physalaemus_nattereri,Physalaemus,nattereri,2.99,,AmphiBIO,Using genus-level average,,
Freshwater,Amphibians,Pseudis_platensis,Pseudis,platensis,39.77,,AmphiBIO,Using genus-level average,,
Freshwater,Amphibians,Rhinella_schneideri,Rhinella,schneideri,210,,AmphiBIO,,,
Freshwater,Amphibians,Scinax_fuscomarginatus,Scinax,fuscomarginatus,0.7,,AmphiBIO,,,
Freshwater,Amphibians,Scinax_fuscovarius,Scinax,fuscovarius,17.6,,AmphiBIO,,,
Freshwater,Amphibians,Scinax_similis,Scinax,similis,7.87,,AmphiBIO,Using genus-level average,,
Freshwater,Amphibians,Trachycephalus_venulosus,Trachycephalus,venulosus,56.9,,AmphiBIO,Using genus-level average,,
Freshwater,Invertebrates,Acella_haldemani,,,,,,,,
Freshwater,Invertebrates,Amnicola_limosa,,,,,,,,
Freshwater,Invertebrates,Amnicola_pupoideus,,,,,,,,
Freshwater,Invertebrates,Bithinya_tentaculata,,,,,,,,
Freshwater,Invertebrates,Brachiomonas_submarina,,,,,,,,
Freshwater,Invertebrates,Campeloma_decisum,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_acuta,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_intermedia,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_sp,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_sp1,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_sp2,,,,,,,,
Freshwater,Invertebrates,Chlamydomonas_subcaudata,,,,,,,,
Freshwater,Invertebrates,Chlorella_sp,,,,,,,,
Freshwater,Invertebrates,Chlorella_vulgaris,,,,,,,,
Freshwater,Invertebrates,Chlorogonium_sp,,,,,,,,
Freshwater,Invertebrates,Chloromonas_alpina,,,,,,,,
Freshwater,Invertebrates,Chlorophyta_NA,,,,,,,,
Freshwater,Invertebrates,Choanoflagellida_NA,,,,,,,,
Freshwater,Invertebrates,Chromulina_sp,,,,,,,,
Freshwater,Invertebrates,Chroococcus_sp,,,,,,,,
Freshwater,Invertebrates,Chroomonas_lacustris,,,,,,,,
Freshwater,Invertebrates,Chrysophyta_NA,,,,,,,,
Freshwater,Invertebrates,Coccomyxa_sp,,,,,,,,
Freshwater,Invertebrates,Cryptomonas_sp,,,,,,,,
Freshwater,Invertebrates,Cryptophyta_NA,,,,,,,,
Freshwater,Invertebrates,Cyanophyta_NA,,,,,,,,
Freshwater,Invertebrates,Dactylococcopsis_sp,,,,,,,,
Freshwater,Invertebrates,Dinobryon_sp,,,,,,,,
Freshwater,Invertebrates,Elimia_livescens,,,,,,,,
Freshwater,Invertebrates,Elimia_virginica,,,,,,,,
Freshwater,Invertebrates,Ferrissia_parallela,,,,,,,,
Freshwater,Invertebrates,Fossaria_obrussa,,,,,,,,
Freshwater,Invertebrates,Gloeothece_sp,,,,,,,,
