"","modnms","freshwater","marine","terrestrial"
"1","modAllJtu",-0.791,0.212,2.64
"2","modRealmAllJtu",-0.791,0.212,2.67
"3","modTaxamod2AllJtu",-0.791,0.212,2.64
"4","modsdTtsignAllJtu",-0.791,0.212,2.64
"5","modsdTRealmtsignAllJtu",-0.79,0.211,2.64
"6","modrawTsdTTRealmtsignAllJtu",-0.789,0.21,2.64
"7","modAllHorn",0.187,0.155,2.16
"8","modRealmAllHorn",0.187,0.155,2.16
"9","modTaxamod2AllHorn",0.187,0.154,2.16
"10","modsdTtsignAllHorn",0.187,0.155,2.16
"11","modsdTRealmtsignAllHorn",0.188,0.154,2.16
"12","modrawTsdTTRealmtsignAllHorn",0.189,0.153,2.16
